# 0.7.1 Go-engine meter, GPU (fp16 accumulation). n_bad>0 == overflow at blk.31 ffn_down.
# hr = largest FINITE |value| / 65504; on GPU an overflowing element becomes inf and
# drops out of that maximum, so n_bad is the detector and hr the approach signal.
0.9497     62,207     0      1  as8-14-2392.jpg
0.9169     60,063     0      1  20040421_exp9_02.jpg
0.8959     58,687     0      0  PIA20636.jpg
0.8749     57,311     0      0  PIA19198.jpg
0.8652     56,671     0      0  s36-39-014.jpg
0.8603     56,351     0      0  PIA03600.jpg
0.8100     53,055     0      0  KSC-20170606-PH_SWW01_0005.jpg
0.7841     51,359     0      0  PIA24529.jpg
0.7797     51,071     0      0  KSC-20170606-PH_SWW01_0002.jpg
0.7777     50,943     0      0  S69-19190.jpg
0.7718     50,559     0      0  KSC-20170606-PH_SWW01_0003.jpg
0.7621     49,919     0      0  PIA02619.jpg
0.7523     49,279     0      0  Apollo_15_-_As15-88-11895-11925_Panorama.jpg
0.7523     49,279     0      0  Aldrin_Apollo_11.jpg
0.7479     48,991     0      0  GSFC_20171208_Archive_e001586.jpg
0.6854     44,895     0      0  sin_f4_v.png
0.6453     42,271     0      0  sin_f8_d.png
0.6390     41,855     0      0  sin_f4_d.png
0.6370     41,727     0      0  sin_f128_v.png
0.6351     41,599     0      0  sin_f64_h.png
0.6204     40,639     0      0  grad_v_g.png
0.6087     39,871     0      0  sin_f16_d.png
0.5965     39,071     0      0  sin_f32_d.png
0.5784     37,887     0      0  sin_f64_v.png
0.5735     37,567     0      0  sin_f64_d.png
0.5589     36,607     0      0  sin_f8_h.png
0.5569     36,479     0      0  sin_f128_d.png
0.5471     35,839     0      0  pink_b2.0_s0.png
0.5437     35,615     0      0  sin_f16_h.png
0.5432     35,583     0      0  sin_f32_v.png
0.9848     64,511     6      6  20040421_exp9_02_a1.5_b0_k1.0.png
0.9809     64,255     1      1  20040421_exp9_02_a1.5_b20_k1.0.png
0.9712     63,615     0      1  PIA19198_a1.25_b20_k1.4.png
0.9673     63,359     5      5  20040421_exp9_02_a1.5_b0_k1.4.png
0.9433     61,791     0      1  PIA20636_a1.5_b0_k1.4.png
0.9399     61,567     0      1  PIA20636_a1.25_b0_k1.0.png
0.9292     60,863     0      1  PIA19198_a1.5_b20_k1.4.png
0.9057     59,327     0      0  PIA20636_a1.0_b0_k1.4.png
0.9018     59,071     0      0  20040421_exp9_02_a1.25_b0_k1.0.png
0.8954     58,655     0      0  PIA20636_a1.0_b0_k1.0.png
0.8945     58,591     0      0  20040421_exp9_02_a1.25_b0_k1.4.png
0.8920     58,431     0      0  PIA20636_a1.25_b0_k1.4.png
0.8891     58,239     0      0  20040421_exp9_02_a1.0_b0_k1.0.png
0.8827     57,823     0      0  PIA19198_a1.5_b20_k1.0.png
0.8808     57,695     0      0  20040421_exp9_02_a1.5_b20_k1.4.png
